"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 01 18:34:24 UTC 2025","Tue Jul 01 18:34:24 UTC 2025","149","APISuite","UserTests","com.company.project.tests.PetApiTest","com.company.project.tests.PetApiTest","testCreatePet","Verify pet creation with different inputs","This test validates that a new pet can be created and response contains correct name and status."
"passed","Tue Jul 01 18:34:25 UTC 2025","Tue Jul 01 18:34:25 UTC 2025","130","APISuite","UserTests","com.company.project.tests.PetApiTest","com.company.project.tests.PetApiTest","testGetPetById","Verify getting pet by ID returns correct pet","This test verifies that a pet with ID 10 can be fetched and has correct details."
"passed","Tue Jul 01 18:34:25 UTC 2025","Tue Jul 01 18:34:25 UTC 2025","160","APISuite","UserTests","com.company.project.tests.PetApiTest","com.company.project.tests.PetApiTest","testUpdatePet","Verify updating a pet returns correct updated data","This test updates a pet and validates that the response contains the updated pet details."
"passed","Tue Jul 01 18:34:22 UTC 2025","Tue Jul 01 18:34:24 UTC 2025","1595","APISuite","UserTests","com.company.project.tests.PetApiTest","com.company.project.tests.PetApiTest","testCreatePet","Verify pet creation with different inputs","This test validates that a new pet can be created and response contains correct name and status."
"passed","Tue Jul 01 18:34:24 UTC 2025","Tue Jul 01 18:34:25 UTC 2025","151","APISuite","UserTests","com.company.project.tests.PetApiTest","com.company.project.tests.PetApiTest","testCreatePet","Verify pet creation with different inputs","This test validates that a new pet can be created and response contains correct name and status."
"passed","Tue Jul 01 18:34:25 UTC 2025","Tue Jul 01 18:34:25 UTC 2025","246","APISuite","UserTests","com.company.project.tests.PetApiTest","com.company.project.tests.PetApiTest","testDeletePetById","Verify deleting a pet removes it successfully","This test deletes a pet by ID and verifies it was removed."
"passed","Tue Jul 01 18:34:24 UTC 2025","Tue Jul 01 18:34:24 UTC 2025","171","APISuite","UserTests","com.company.project.tests.PetApiTest","com.company.project.tests.PetApiTest","testCreatePet","Verify pet creation with different inputs","This test validates that a new pet can be created and response contains correct name and status."
